ISO3,ADM_name,long,lat
AND,Andorra,1.56075624,42.54132652
ESP,Spain,-3.65263702,40.2272337
FRA,France,-2.75522119,42.18010698
GBR,United Kingdom,-2.88695152,54.14704819
ARE,United Arab Emirates,54.3007956,23.90578306
PAK,Pakistan,69.34134311,29.94849683
CHE,Switzerland,8.21535366,46.79895687
ZAF,South Africa,25.08736444,-29.00103218
USA,United States,-112.9268341,45.69785106
POL,Poland,19.39432214,52.12477182
IND,India,79.61572163,22.88795252
SAU,Saudi Arabia,44.53686368,24.12232707
JPN,Japan,137.9783476,37.5511774
IRN,Iran,54.27694673,32.57067818
BHR,Bahrain,50.54661935,26.05278429
OMN,Oman,56.09265654,20.60180565
DEU,Germany,10.38149384,51.10636349
CZE,Czech Republic,15.3141031,49.73244821
ITA,Italy,12.07190709,42.786434
BRA,Brazil,-53.09248235,-10.78085885
AUS,Australia,134.4911188,-25.73231054
KWT,Kuwait,47.5946235,29.34004209
RUS,Russia,96.67647041,61.98044567
EGY,Egypt,29.86120871,26.49291963
QAT,Qatar,51.18683129,25.31307459
AFG,Afghanistan,66.00844769,33.83626707
AUT,Austria,14.13067289,47.58565692
KOR,South Korea,127.819094,36.37335355
BEL,Belgium,4.63996051,50.63746164
GEO,Georgia,43.50752633,42.16880078
THA,Thailand,101.0033333,15.1144
PHL,Philippines,122.8744843,11.76301505
GRC,Greece,22.97481893,39.05118118
GHA,Ghana,-1.21652383,7.95395472
NLD,Netherlands,5.21681422,52.06979166
UGA,Uganda,32.31138292,1.50145731
TUR,Turkey,35.16723939,39.06108062
MAR,Morocco,-8.39643505,29.84169214
SWE,Sweden,16.75446643,62.77709986
NZL,New Zealand,171.4706907,-41.82952217
MYS,Malaysia,109.6988684,3.79239285
JOR,Jordan,36.7709218,31.24557414
CAN,Canada,-98.26424349,61.4749987
PRT,Portugal,-8.59083759,39.58714687
IRL,Ireland,-8.14504467,53.17822137
CHN,China,103.8315717,36.56011515
DNK,Denmark,10.0513897,55.96537746
LKA,Sri Lanka,80.70316284,7.61591405
TWN,Taiwan,120.9498753,23.75298511
IDN,Indonesia,117.2704333,-2.222961
ZMB,Zambia,27.76638853,-13.47303294
VNM,Vietnam,106.3009352,16.64218284
ROU,Romania,24.97294186,45.8534641
LBN,Lebanon,35.87993656,33.92035933
NGA,Nigeria,8.09123928,9.59531483
BGD,Bangladesh,90.24200002,23.84567735
KEN,Kenya,37.84791339,0.55755763
UKR,Ukraine,31.25530614,49.16007829
BIH,Bosnia and Herzegovina,17.77340802,44.17173406
MUS,Mauritius,57.84970019,-20.18554389
NPL,Nepal,83.91625344,28.24792219
IRQ,Iraq,43.74497702,33.03980378
ARG,Argentina,-65.17819064,-35.38755136
MDV,Maldives,73.30227719,3.82777984
FIN,Finland,26.27079504,64.49535898
ETH,Ethiopia,39.60055104,8.62295174
NOR,Norway,15.40959916,68.79427292
HUN,Hungary,19.39675927,47.16324369
SYC,Seychelles,52.06229184,-6.48999049
ZWE,Zimbabwe,29.85188462,-19.00253671
HKG,Hong Kong,114.1314469,22.38463689
BGR,Bulgaria,25.21751251,42.76852261
MMR,Myanmar,96.48928941,21.16766987
KAZ,Kazakhstan,67.27101336,48.18112621
AGO,Angola,17.53698501,-12.29231569
RWA,Rwanda,29.91906071,-1.99275053
TJK,Tajikistan,71.01583424,38.52988565
TKM,Turkmenistan,59.37596074,39.1159339
ATG,Antigua and Barbuda,-61.79173246,17.28438023
LCA,Saint Lucia,-60.97031653,13.90267055
DMA,Dominica,-61.35691759,15.43644049
VIR,"Virgin Islands, U.S.",-64.79765445,17.9805456
PRI,Puerto Rico,-66.46760029,18.22381647
KNA,Saint Kitts and Nevis,-62.69854545,17.27104226
ALB,Albania,20.0538192,41.14248206
MKD,Macedonia,21.68383041,41.59500493
XKO,Kosovo,20.87374319,42.57288339
MNE,Montenegro,19.23850029,42.78581805
ARM,Armenia,44.93230122,40.28813415
NAM,Namibia,17.2111332,-22.12924664
PRY,Paraguay,-58.39842281,-23.22751882
URY,Uruguay,-56.01715509,-32.79821075
BOL,Bolivia,-64.68475373,-16.70687681
CHL,Chile,-71.36437464,-37.74360562
PAN,Panama,-80.12129495,8.51455697
VEN,Venezuela,-66.16884026,7.12773154
DOM,Dominican Republic,-70.49658654,18.89636587
MEX,Mexico,-102.5303079,23.9491712
COL,Colombia,-73.0838421,3.90941305
ECU,Ecuador,-78.77228231,-1.42624147
PER,Peru,-74.37806457,-9.15438848
ASM,American Samoa,-170.3989209,-14.25494348
SVK,Slovakia,19.48038297,48.7049353
HRV,Croatia,16.39854884,45.06772617
LIE,Liechtenstein,9.54090029,47.13820643
SVN,Slovenia,14.80808963,46.11611098
CYP,Cyprus,32.9899917,34.91521704
SRB,Serbia,20.79040247,44.22137592
ISR,Israel,34.99603426,31.44396061
JAM,Jamaica,-77.31881047,18.15522639
LUX,Luxembourg,6.07176397,49.76682428
BRN,Brunei,114.7272458,4.51650031
FJI,Fiji,163.4078474,-17.44756192
PNG,Papua New Guinea,145.2315236,-6.4701206
VUT,Vanuatu,167.7008441,-16.20126791
NCL,New Caledonia,165.7026548,-21.30434014
ALA,?land,20.05558282,60.18644725
AZE,Azerbaijan,47.54211125,40.28911904
BRB,Barbados,-59.56121775,13.18105383
TTO,Trinidad and Tobago,-61.25844984,10.46882986
GRD,Grenada,-61.65668238,12.1533724
VCT,Saint Vincent and the Grenadines,-61.20335326,13.21621592
BHS,Bahamas,-76.55125222,24.22280929
SEN,Senegal,-14.47130603,14.36778858
LTU,Lithuania,23.88824902,55.32702364
BFA,Burkina Faso,-1.75552769,12.26955391
TGO,Togo,0.9622716,8.52678821
CIV,C?te d'Ivoire,-5.56900019,7.62796652
MDA,Moldova,28.46139713,47.19510149
BLR,Belarus,28.0335664,53.53188048
BDI,Burundi,29.91714635,-3.30713601
BEN,Benin,2.32874073,9.64121669
