Domestic Passenger - Passenger Enplanements  (January 2010 - December 2018)
Unit: (000)

Period,Total
"January 2010","45720"
"February 2010","42634"
"March 2010","54673"
"April 2010","52738"
"May 2010","54078"
"June 2010","56939"
"July 2010","59417"
"August 2010","57645"
"September 2010","50601"
"October 2010","55146"
"November 2010","51719"
"December 2010","51330"
"January 2011","46542"
"February 2011","43882"
"March 2011","55948"
"April 2011","53110"
"May 2011","56225"
"June 2011","58041"
"July 2011","60596"
"August 2011","57720"
"September 2011","51320"
"October 2011","54451"
"November 2011","51961"
"December 2011","51779"
"January 2012","47291"
"February 2012","46624"
"March 2012","56458"
"April 2012","53912"
"May 2012","55951"
"June 2012","58136"
"July 2012","59909"
"August 2012","58923"
"September 2012","50429"
"October 2012","54062"
"November 2012","52099"
"December 2012","51347"
"January 2013","48011"
"February 2013","45908"
"March 2013","56764"
"April 2013","53423"
"May 2013","56760"
"June 2013","58186"
"July 2013","59509"
"August 2013","58373"
"September 2013","51037"
"October 2013","54961"
"November 2013","50766"
"December 2013","54551"
"January 2014","48165"
"February 2014","45693"
"March 2014","57998"
"April 2014","55443"
"May 2014","58075"
"June 2014","59490"
"July 2014","61958"
"August 2014","60007"
"September 2014","52785"
"October 2014","57359"
"November 2014","52824"
"December 2014","55691"
"January 2015","49917"
"February 2015","47337"
"March 2015","59753"
"April 2015","57882"
"May 2015","60449"
"June 2015","62011"
"July 2015","65324"
"August 2015","62978"
"September 2015","56239"
"October 2015","61157"
"November 2015","57366"
"December 2015","58041"
"January 2016","52642"
"February 2016","51265"
"March 2016","61763"
"April 2016","59045"
"May 2016","62909"
"June 2016","64923"
"July 2016","66299"
"August 2016","63686"
"September 2016","58882"
"October 2016","61987"
"November 2016","59502"
"December 2016","59350"
"January 2017","54297"
"February 2017","51252"
"March 2017","64181"
"April 2017","61292"
"May 2017","64635"
"June 2017","66926"
"July 2017","68725"
"August 2017","66856"
"September 2017","57405"
"October 2017","64908"
"November 2017","62162"
"December 2017","61577"
"January 2018","55998"
"February 2018","54261"
"March 2018","66856"
"April 2018","64744"
"May 2018","68024"
"June 2018","70460"
"July 2018","72697"
"August 2018","70523"
"September 2018","60696"
"October 2018","67332"
"November 2018","64922"
"December 2018","63800"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
